2024/11/09 21:37:22.376022 GET took 14.608µs, cache status true 
2024/11/09 21:37:22.890702 GET took 14.354µs, cache status true 
2024/11/09 21:37:23.419221 GET took 15.807µs, cache status true 
2024/11/09 21:37:23.952834 GET took 1.752619ms, cache status false 
2024/11/09 21:37:24.457485 GET took 12.57µs, cache status true 
2024/11/09 21:37:24.997603 GET took 14.017µs, cache status true 
2024/11/09 21:37:25.513374 GET took 13.105µs, cache status true 
2024/11/09 21:37:26.029460 GET took 12.966µs, cache status true 
2024/11/09 21:37:26.542598 GET took 13.646µs, cache status true 
2024/11/09 21:37:27.068328 GET took 12.017µs, cache status true 
2024/11/09 21:37:27.597276 GET took 13.609µs, cache status true 
2024/11/09 21:37:28.106242 GET took 14.324µs, cache status true 
